Locality Name,Income Limit Type,Affordable Housing Baseline Estimate,Three Year Commitment Estimate,Annualized Commitment Estimate
Bethune Town,Neighboring AMI - Cheyenne County,24,3,1
Bethune Town,"Neighboring AMI - Cheyenne County, KS",23,3,1
Bethune Town,"Neighboring AMI - Kit Carson County, Lincoln County, Washington County, Yuma County",24,3,1
Bethune Town,"Neighboring AMI - Sherman County, KS",23,3,1
Bethune Town,"Neighboring AMI - Wallace County, KS",24,3,1
Bethune Town,Own AMI - Kit Carson County,24,3,1
Bethune Town,State Median Income,24,3,1
Black Hawk City,Neighboring AMI - Boulder County,8,1,1
Black Hawk City,"Neighboring AMI - Clear Creek County, Gilpin County, Jefferson County",8,1,1
Black Hawk City,Neighboring AMI - Grand County,5,1,1
Black Hawk City,Own AMI - Gilpin County,8,1,1
Black Hawk City,State Median Income,5,1,1
Blanca Town,"Neighboring AMI - Alamosa County, Conejos County, Costilla County, Huerfano County, Las Animas County",37,4,2
Blanca Town,"Neighboring AMI - Colfax County, NM, Taos County, NM",27,3,1
Blanca Town,Own AMI - Costilla County,37,4,2
Blanca Town,State Median Income,37,4,2
Blue River Town,"Neighboring AMI - Clear Creek County, Park County",14,2,1
Blue River Town,Neighboring AMI - Eagle County,14,2,1
Blue River Town,Neighboring AMI - Grand County,7,1,1
Blue River Town,Neighboring AMI - Lake County,7,1,1
Blue River Town,Own AMI - Summit County,12,2,1
Blue River Town,State Median Income,7,1,1
Bonanza Town,"Neighboring AMI - Alamosa County, Chaffee County, Custer County, Fremont County, Hinsdale County, Huerfano County, Mineral County, Rio Grande County, Saguache County",0,0,0
Bonanza Town,Neighboring AMI - Gunnison County,0,0,0
Bonanza Town,Own AMI - Saguache County,0,0,0
Bonanza Town,State Median Income,0,0,0
Boone Town,"Neighboring AMI - Crowley County, Custer County, Fremont County, Huerfano County, Las Animas County, Lincoln County, Otero County, Pueblo County",25,3,1
Boone Town,Neighboring AMI - El Paso County,25,3,1
Boone Town,Own AMI - Pueblo County,25,3,1
Boone Town,State Median Income,25,3,1
Boulder City,"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",9442,850,284
Boulder City,Neighboring AMI - Grand County,2675,241,81
Boulder City,Neighboring AMI - Larimer County,4943,445,149
Boulder City,Neighboring AMI - Weld County,5000,450,150
Boulder City,Own AMI - Boulder County,9332,840,280
Boulder City,State Median Income,2670,241,81
Boulder County (Unincorporated),"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",1410,127,43
Boulder County (Unincorporated),Neighboring AMI - Grand County,521,47,16
Boulder County (Unincorporated),Neighboring AMI - Larimer County,867,79,27
Boulder County (Unincorporated),Neighboring AMI - Weld County,875,79,27
Boulder County (Unincorporated),Own AMI - Boulder County,1387,125,42
Boulder County (Unincorporated),State Median Income,521,47,16
Bow Mar Town,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",7,1,1
Bow Mar Town,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",7,1,1
Bow Mar Town,Neighboring AMI - Boulder County,7,1,1
Bow Mar Town,"Neighboring AMI - Lincoln County, Washington County",5,1,1
Bow Mar Town,Neighboring AMI - Teller County,5,1,1
Bow Mar Town,Own AMI - Arapahoe County,7,1,1
Bow Mar Town,Own AMI - Jefferson County,7,1,1
Bow Mar Town,State Median Income,5,1,1
Branson Town,"Neighboring AMI - Baca County, Bent County, Costilla County, Huerfano County, Las Animas County, Otero County, Pueblo County",14,2,1
Branson Town,"Neighboring AMI - Colfax County, NM",14,2,1
Branson Town,"Neighboring AMI - Union County, NM",14,2,1
Branson Town,Own AMI - Las Animas County,14,2,1
Branson Town,State Median Income,14,2,1
Breckenridge Town,"Neighboring AMI - Clear Creek County, Park County",212,20,7
Breckenridge Town,Neighboring AMI - Eagle County,213,20,7
Breckenridge Town,Neighboring AMI - Grand County,92,9,3
Breckenridge Town,Neighboring AMI - Lake County,94,9,3
Breckenridge Town,Own AMI - Summit County,202,19,7
Breckenridge Town,State Median Income,92,9,3
Brighton City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",3021,272,91
Brighton City,"Neighboring AMI - Adams County, Broomfield County",3021,272,91
Brighton City,Neighboring AMI - Boulder County,2987,269,90
Brighton City,"Neighboring AMI - Kimball County, NE",813,74,25
Brighton City,"Neighboring AMI - Laramie County, WY",1487,134,45
Brighton City,Neighboring AMI - Larimer County,2221,200,67
Brighton City,"Neighboring AMI - Logan County, Morgan County",1037,94,32
Brighton City,"Neighboring AMI - Morgan County, Washington County",1037,94,32
Brighton City,Neighboring AMI - Weld County,2256,204,68
Brighton City,Own AMI - Adams County,3021,272,91
Brighton City,Own AMI - Weld County,2256,204,68
Brighton City,State Median Income,1022,92,31
Brookside Town,"Neighboring AMI - Chaffee County, Custer County, Fremont County, Pueblo County, Saguache County",24,3,1
Brookside Town,Neighboring AMI - El Paso County,24,3,1
Brookside Town,Neighboring AMI - Park County,45,5,2
Brookside Town,Neighboring AMI - Teller County,24,3,1
Brookside Town,Own AMI - Fremont County,24,3,1
Brookside Town,State Median Income,24,3,1
Broomfield City And County,"Neighboring AMI - Adams County, Broomfield County, Jefferson County",3865,348,116
Broomfield City And County,Neighboring AMI - Boulder County,3763,339,113
Broomfield City And County,Neighboring AMI - Weld County,2144,193,65
Broomfield City And County,Own AMI - Broomfield County,3865,348,116
Broomfield City And County,State Median Income,1021,92,31
Brush City,Neighboring AMI - Adams County,947,86,29
Brush City,"Neighboring AMI - Logan County, Morgan County, Washington County",708,64,22
Brush City,Neighboring AMI - Weld County,884,80,27
Brush City,Own AMI - Morgan County,708,64,22
Brush City,State Median Income,704,64,22
Buena Vista Town,"Neighboring AMI - Chaffee County, Fremont County, Lake County, Saguache County",181,17,6
Buena Vista Town,Neighboring AMI - Gunnison County,178,17,6
Buena Vista Town,Neighboring AMI - Park County,415,38,13
Buena Vista Town,Neighboring AMI - Pitkin County,344,31,11
Buena Vista Town,Own AMI - Chaffee County,181,17,6
Buena Vista Town,State Median Income,178,17,6
Burlington City,Neighboring AMI - Cheyenne County,469,43,15
Burlington City,"Neighboring AMI - Cheyenne County, KS",384,35,12
Burlington City,"Neighboring AMI - Kit Carson County, Lincoln County, Washington County, Yuma County",471,43,15
Burlington City,"Neighboring AMI - Sherman County, KS",384,35,12
Burlington City,"Neighboring AMI - Wallace County, KS",468,43,15
Burlington City,Own AMI - Kit Carson County,471,43,15
Burlington City,State Median Income,468,43,15
Calhan Town,"Neighboring AMI - Crowley County, Fremont County, Lincoln County, Pueblo County",49,5,2
Calhan Town,"Neighboring AMI - Douglas County, Elbert County",67,7,3
Calhan Town,Neighboring AMI - Teller County,48,5,2
Calhan Town,Own AMI - El Paso County,48,5,2
Calhan Town,State Median Income,48,5,2
Campo Town,"Neighboring AMI - Baca County, Bent County, Las Animas County, Prowers County",14,2,1
Campo Town,"Neighboring AMI - Cimarron County, OK",10,1,1
Campo Town,"Neighboring AMI - Morton County, KS, Stanton County, KS",13,2,1
Campo Town,"Neighboring AMI - Union County, NM",10,1,1
Campo Town,Own AMI - Baca County,14,2,1
Campo Town,State Median Income,14,2,1
Cañon City City,"Neighboring AMI - Chaffee County, Custer County, Fremont County, Pueblo County, Saguache County",2251,203,68
Cañon City City,Neighboring AMI - El Paso County,2238,202,68
Cañon City City,Neighboring AMI - Park County,2981,269,90
Cañon City City,Neighboring AMI - Teller County,2242,202,68
Cañon City City,Own AMI - Fremont County,2251,203,68
Cañon City City,State Median Income,2241,202,68
Carbonate Town,Neighboring AMI - Eagle County,NA,NA,NA
Carbonate Town,"Neighboring AMI - Grand County, UT",NA,NA,NA
Carbonate Town,Neighboring AMI - Mesa County,NA,NA,NA
Carbonate Town,Neighboring AMI - Pitkin County,NA,NA,NA
Carbonate Town,Neighboring AMI - Rio Blanco County,NA,NA,NA
Carbonate Town,Neighboring AMI - Routt County,NA,NA,NA
Carbonate Town,"Neighboring AMI - Uintah County, UT",NA,NA,NA
Carbonate Town,Own AMI - Garfield County,NA,NA,NA
Carbonate Town,State Median Income,NA,NA,NA
Carbondale Town,Neighboring AMI - Eagle County,327,30,10
Carbondale Town,"Neighboring AMI - Grand County, UT",115,11,4
Carbondale Town,Neighboring AMI - Mesa County,115,11,4
Carbondale Town,Neighboring AMI - Pitkin County,222,20,7
Carbondale Town,Neighboring AMI - Rio Blanco County,114,11,4
Carbondale Town,Neighboring AMI - Routt County,224,21,7
Carbondale Town,"Neighboring AMI - Uintah County, UT",114,11,4
Carbondale Town,Own AMI - Garfield County,190,18,6
Carbondale Town,State Median Income,112,11,4
Castle Pines City,"Neighboring AMI - Arapahoe County, Douglas County, Elbert County, Jefferson County",206,19,7
Castle Pines City,Neighboring AMI - El Paso County,49,5,2
Castle Pines City,Neighboring AMI - Teller County,50,5,2
Castle Pines City,Own AMI - Douglas County,206,19,7
Castle Pines City,State Median Income,49,5,2
Castle Rock Town,"Neighboring AMI - Arapahoe County, Douglas County, Elbert County, Jefferson County",3067,277,93
Castle Rock Town,Neighboring AMI - El Paso County,836,76,26
Castle Rock Town,Neighboring AMI - Teller County,841,76,26
Castle Rock Town,Own AMI - Douglas County,3067,277,93
Castle Rock Town,State Median Income,840,76,26
Cedaredge Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",384,35,12
Cedaredge Town,Neighboring AMI - Gunnison County,384,35,12
Cedaredge Town,Own AMI - Delta County,384,35,12
Cedaredge Town,State Median Income,384,35,12
Centennial City,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",2981,269,90
Centennial City,"Neighboring AMI - Lincoln County, Washington County",703,64,22
Centennial City,Own AMI - Arapahoe County,2981,269,90
Centennial City,State Median Income,695,63,21
Center Town,"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Mineral County, Rio Grande County, Saguache County",297,27,9
Center Town,"Neighboring AMI - Alamosa County, Chaffee County, Custer County, Fremont County, Hinsdale County, Huerfano County, Mineral County, Rio Grande County, Saguache County",297,27,9
Center Town,Neighboring AMI - Gunnison County,297,27,9
Center Town,Own AMI - Rio Grande County,297,27,9
Center Town,Own AMI - Saguache County,297,27,9
Center Town,State Median Income,297,27,9
Central City City,Neighboring AMI - Boulder County,142,13,5
Central City City,"Neighboring AMI - Clear Creek County, Gilpin County, Jefferson County",142,13,5
Central City City,"Neighboring AMI - Clear Creek County, Gilpin County, Jefferson County, Park County",142,13,5
Central City City,Neighboring AMI - Grand County,39,4,2
Central City City,Neighboring AMI - Summit County,97,9,3
Central City City,Own AMI - Clear Creek County,142,13,5
Central City City,Own AMI - Gilpin County,142,13,5
Central City City,State Median Income,39,4,2
Chaffee County (Unincorporated),"Neighboring AMI - Chaffee County, Fremont County, Lake County, Saguache County",407,37,13
Chaffee County (Unincorporated),Neighboring AMI - Gunnison County,405,37,13
Chaffee County (Unincorporated),Neighboring AMI - Park County,654,59,20
Chaffee County (Unincorporated),Neighboring AMI - Pitkin County,621,56,19
Chaffee County (Unincorporated),Own AMI - Chaffee County,407,37,13
Chaffee County (Unincorporated),State Median Income,404,37,13
Cheraw Town,"Neighboring AMI - Bent County, Crowley County, Kiowa County, Las Animas County, Otero County, Pueblo County",36,4,2
Cheraw Town,Own AMI - Otero County,36,4,2
Cheraw Town,State Median Income,36,4,2
Cherry Hills Village City,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",7,1,1
Cherry Hills Village City,"Neighboring AMI - Lincoln County, Washington County",4,1,1
Cherry Hills Village City,Own AMI - Arapahoe County,7,1,1
Cherry Hills Village City,State Median Income,4,1,1
Cheyenne County (Unincorporated),"Neighboring AMI - Greeley County, KS",31,3,1
Cheyenne County (Unincorporated),"Neighboring AMI - Kiowa County, Kit Carson County, Lincoln County",34,4,2
Cheyenne County (Unincorporated),"Neighboring AMI - Wallace County, KS",34,4,2
Cheyenne County (Unincorporated),Own AMI - Cheyenne County,34,4,2
Cheyenne County (Unincorporated),State Median Income,34,4,2
Cheyenne Wells Town,"Neighboring AMI - Greeley County, KS",62,6,2
Cheyenne Wells Town,"Neighboring AMI - Kiowa County, Kit Carson County, Lincoln County",70,7,3
Cheyenne Wells Town,"Neighboring AMI - Wallace County, KS",70,7,3
Cheyenne Wells Town,Own AMI - Cheyenne County,70,7,3
Cheyenne Wells Town,State Median Income,70,7,3
City Of Creede Town,"Neighboring AMI - Archuleta County, Hinsdale County, Mineral County, Rio Grande County, Saguache County",59,6,2
City Of Creede Town,Own AMI - Mineral County,59,6,2
City Of Creede Town,State Median Income,59,6,2
Clear Creek County (Unincorporated),"Neighboring AMI - Clear Creek County, Gilpin County, Jefferson County, Park County",184,17,6
Clear Creek County (Unincorporated),Neighboring AMI - Grand County,126,12,4
Clear Creek County (Unincorporated),Neighboring AMI - Summit County,188,17,6
Clear Creek County (Unincorporated),Own AMI - Clear Creek County,184,17,6
Clear Creek County (Unincorporated),State Median Income,126,12,4
Coal Creek Town,"Neighboring AMI - Chaffee County, Custer County, Fremont County, Pueblo County, Saguache County",31,3,1
Coal Creek Town,Neighboring AMI - El Paso County,31,3,1
Coal Creek Town,Neighboring AMI - Park County,33,3,1
Coal Creek Town,Neighboring AMI - Teller County,31,3,1
Coal Creek Town,Own AMI - Fremont County,31,3,1
Coal Creek Town,State Median Income,31,3,1
Cokedale Town,"Neighboring AMI - Baca County, Bent County, Costilla County, Huerfano County, Las Animas County, Otero County, Pueblo County",20,2,1
Cokedale Town,"Neighboring AMI - Colfax County, NM",14,2,1
Cokedale Town,"Neighboring AMI - Union County, NM",14,2,1
Cokedale Town,Own AMI - Las Animas County,20,2,1
Cokedale Town,State Median Income,20,2,1
Collbran Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",51,5,2
Collbran Town,Neighboring AMI - Garfield County,54,5,2
Collbran Town,"Neighboring AMI - Grand County, UT, San Juan County, UT",51,5,2
Collbran Town,Neighboring AMI - Gunnison County,51,5,2
Collbran Town,Neighboring AMI - Pitkin County,56,6,2
Collbran Town,Own AMI - Mesa County,51,5,2
Collbran Town,State Median Income,51,5,2
Colorado Springs City,"Neighboring AMI - Crowley County, Fremont County, Lincoln County, Pueblo County",29731,2676,892
Colorado Springs City,"Neighboring AMI - Douglas County, Elbert County",61455,5531,1844
Colorado Springs City,Neighboring AMI - Teller County,29457,2652,884
Colorado Springs City,Own AMI - El Paso County,29314,2639,880
Colorado Springs City,State Median Income,29431,2649,883
Columbine Valley Town,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",4,1,1
Columbine Valley Town,"Neighboring AMI - Lincoln County, Washington County",4,1,1
Columbine Valley Town,Own AMI - Arapahoe County,4,1,1
Columbine Valley Town,State Median Income,4,1,1
Commerce City City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",3820,344,115
Commerce City City,"Neighboring AMI - Morgan County, Washington County",1600,144,48
Commerce City City,Neighboring AMI - Weld County,3305,298,100
Commerce City City,Own AMI - Adams County,3820,344,115
Commerce City City,State Median Income,1582,143,48
Conejos County (Unincorporated),"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Costilla County, Rio Grande County",275,25,9
Conejos County (Unincorporated),"Neighboring AMI - Rio Arriba County, NM, Taos County, NM",229,21,7
Conejos County (Unincorporated),Own AMI - Conejos County,275,25,9
Conejos County (Unincorporated),State Median Income,274,25,9
Cortez City,"Neighboring AMI - Apache County, AZ",414,38,13
Cortez City,"Neighboring AMI - Dolores County, Montezuma County, San Juan County",941,85,29
Cortez City,Neighboring AMI - La Plata County,1165,105,35
Cortez City,"Neighboring AMI - San Juan County, NM",713,65,22
Cortez City,"Neighboring AMI - San Juan County, UT",941,85,29
Cortez City,Own AMI - Montezuma County,941,85,29
Cortez City,State Median Income,938,85,29
Costilla County (Unincorporated),"Neighboring AMI - Alamosa County, Conejos County, Costilla County, Huerfano County, Las Animas County",179,17,6
Costilla County (Unincorporated),"Neighboring AMI - Colfax County, NM, Taos County, NM",143,13,5
Costilla County (Unincorporated),Own AMI - Costilla County,179,17,6
Costilla County (Unincorporated),State Median Income,179,17,6
Craig City,"Neighboring AMI - Carbon County, WY",1244,112,38
Craig City,"Neighboring AMI - Daggett County, UT",1477,133,45
Craig City,Neighboring AMI - Rio Blanco County,1246,113,38
Craig City,Neighboring AMI - Routt County,1477,133,45
Craig City,"Neighboring AMI - Sweetwater County, WY",1479,134,45
Craig City,"Neighboring AMI - Uintah County, UT",1247,113,38
Craig City,Own AMI - Moffat County,1247,113,38
Craig City,State Median Income,1243,112,38
Crawford Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",52,5,2
Crawford Town,Neighboring AMI - Gunnison County,51,5,2
Crawford Town,Own AMI - Delta County,52,5,2
Crawford Town,State Median Income,51,5,2
Crested Butte Town,"Neighboring AMI - Chaffee County, Delta County, Hinsdale County, Mesa County, Montrose County, Saguache County",56,6,2
Crested Butte Town,Neighboring AMI - Ouray County,55,5,2
Crested Butte Town,Neighboring AMI - Pitkin County,107,10,4
Crested Butte Town,Own AMI - Gunnison County,55,5,2
Crested Butte Town,State Median Income,55,5,2
Crestone Town,"Neighboring AMI - Alamosa County, Chaffee County, Custer County, Fremont County, Hinsdale County, Huerfano County, Mineral County, Rio Grande County, Saguache County",14,2,1
Crestone Town,Neighboring AMI - Gunnison County,14,2,1
Crestone Town,Own AMI - Saguache County,14,2,1
Crestone Town,State Median Income,14,2,1
Cripple Creek City,"Neighboring AMI - Douglas County, Jefferson County, Park County",271,25,9
Cripple Creek City,Neighboring AMI - El Paso County,204,19,7
Cripple Creek City,Neighboring AMI - Fremont County,204,19,7
Cripple Creek City,Own AMI - Teller County,204,19,7
Cripple Creek City,State Median Income,204,19,7
Crook Town,"Neighboring AMI - Cheyenne County, NE",19,2,1
Crook Town,"Neighboring AMI - Kimball County, NE",19,2,1
Crook Town,"Neighboring AMI - Logan County, Morgan County, Phillips County, Sedgwick County, Washington County, Yuma County",19,2,1
Crook Town,Neighboring AMI - Weld County,23,3,1
Crook Town,Own AMI - Logan County,19,2,1
Crook Town,State Median Income,19,2,1
Crowley County (Unincorporated),"Neighboring AMI - Crowley County, Kiowa County, Lincoln County, Otero County, Pueblo County",78,8,3
Crowley County (Unincorporated),Neighboring AMI - El Paso County,78,8,3
Crowley County (Unincorporated),Own AMI - Crowley County,78,8,3
Crowley County (Unincorporated),State Median Income,78,8,3
Crowley Town,"Neighboring AMI - Crowley County, Kiowa County, Lincoln County, Otero County, Pueblo County",27,3,1
Crowley Town,Neighboring AMI - El Paso County,27,3,1
Crowley Town,Own AMI - Crowley County,27,3,1
